  0.170000E+01  0.671359E+01  0.691752E+00  0.454823E+01  0.671359E+01  0.563094E+01  0.691752E+00  0.671359E+01  0.691752E+00  0.922638E+01
  0.175000E+01  0.664909E+01  0.678061E+00  0.448365E+01  0.664909E+01  0.556514E+01  0.678061E+00  0.664909E+01  0.678061E+00  0.917042E+01
  0.180000E+01  0.658394E+01  0.664394E+00  0.441920E+01  0.658394E+01  0.549897E+01  0.664394E+00  0.658394E+01  0.664394E+00  0.911501E+01
  0.185000E+01  0.651821E+01  0.650769E+00  0.435497E+01  0.651821E+01  0.543250E+01  0.650769E+00  0.651821E+01  0.650769E+00  0.906007E+01
  0.190000E+01  0.645198E+01  0.637203E+00  0.429104E+01  0.645198E+01  0.536584E+01  0.637203E+00  0.645198E+01  0.637203E+00  0.900551E+01
  0.195000E+01  0.638531E+01  0.623713E+00  0.422749E+01  0.638531E+01  0.529904E+01  0.623713E+00  0.638531E+01  0.623713E+00  0.895124E+01
  0.200000E+01  0.631826E+01  0.610314E+00  0.416441E+01  0.631826E+01  0.523220E+01  0.610314E+00  0.631826E+01  0.610314E+00  0.889719E+01
  0.205000E+01  0.625091E+01  0.597020E+00  0.410185E+01  0.625091E+01  0.516539E+01  0.597020E+00  0.625091E+01  0.597020E+00  0.884329E+01
  0.210000E+01  0.618331E+01  0.583844E+00  0.403988E+01  0.618331E+01  0.509867E+01  0.583844E+00  0.618331E+01  0.583844E+00  0.878945E+01
  0.215000E+01  0.611554E+01  0.570798E+00  0.397857E+01  0.611554E+01  0.503212E+01  0.570798E+00  0.611554E+01  0.570798E+00  0.873561E+01
  0.220000E+01  0.604764E+01  0.557894E+00  0.391797E+01  0.604764E+01  0.496580E+01  0.557894E+00  0.604764E+01  0.557894E+00  0.868173E+01
  0.225000E+01  0.597967E+01  0.545141E+00  0.385812E+01  0.597967E+01  0.489977E+01  0.545141E+00  0.597967E+01  0.545141E+00  0.862773E+01
  0.230000E+01  0.591169E+01  0.532549E+00  0.379909E+01  0.591169E+01  0.483410E+01  0.532549E+00  0.591169E+01  0.532549E+00  0.857359E+01
  0.235000E+01  0.584376E+01  0.520126E+00  0.374089E+01  0.584376E+01  0.476883E+01  0.520126E+00  0.584376E+01  0.520126E+00  0.851925E+01
  0.240000E+01  0.577592E+01  0.507880E+00  0.368358E+01  0.577592E+01  0.470402E+01  0.507880E+00  0.577592E+01  0.507880E+00  0.846470E+01
  0.245000E+01  0.570823E+01  0.495818E+00  0.362718E+01  0.570823E+01  0.463972E+01  0.495818E+00  0.570823E+01  0.495818E+00  0.840989E+01
  0.250000E+01  0.564072E+01  0.483945E+00  0.357173E+01  0.564072E+01  0.457598E+01  0.483945E+00  0.564072E+01  0.483945E+00  0.835482E+01
  0.255000E+01  0.557345E+01  0.472266E+00  0.351723E+01  0.557345E+01  0.451283E+01  0.472266E+00  0.557345E+01  0.472266E+00  0.829947E+01
  0.260000E+01  0.550645E+01  0.460785E+00  0.346372E+01  0.550645E+01  0.445031E+01  0.460785E+00  0.550645E+01  0.460785E+00  0.824383E+01
  0.265000E+01  0.543977E+01  0.449508E+00  0.341121E+01  0.543977E+01  0.438847E+01  0.449508E+00  0.543977E+01  0.449508E+00  0.818789E+01
  0.270000E+01  0.537345E+01  0.438436E+00  0.335971E+01  0.537345E+01  0.432732E+01  0.438436E+00  0.537345E+01  0.438436E+00  0.813166E+01
  0.275000E+01  0.530751E+01  0.427572E+00  0.330923E+01  0.530751E+01  0.426692E+01  0.427572E+00  0.530751E+01  0.427572E+00  0.807514E+01
  0.280000E+01  0.524200E+01  0.416918E+00  0.325978E+01  0.524200E+01  0.420727E+01  0.416918E+00  0.524200E+01  0.416918E+00  0.801833E+01
