  0.292701E+00  0.415416E-01  0.335357E+00  0.415416E-01  0.458584E+00  0.150558E+01  0.201891E+01  0.176212E+01  0.250089E+00  0.201891E+01  0.250089E+00  0.276077E+01  0.270726E+01
  0.236291E+01  0.335357E+00  0.270726E+01  0.335357E+00  0.370205E+01  0.206236E+01  0.292701E+00  0.236291E+01  0.292701E+00  0.323117E+01  0.415416E-01  0.335357E+00  0.415416E-01
  0.458584E+00  0.270726E+01  0.335357E+00  0.370205E+01  0.415416E-01  0.458584E+00  0.506238E+01
  0.400000E+00  0.270842E+01  0.334575E+00  0.201656E+01  0.270842E+01  0.236247E+01  0.334575E+00  0.270842E+01  0.334575E+00  0.369859E+01  0.413307E-01  0.249109E+00  0.334575E+00
  0.291839E+00  0.413307E-01  0.334575E+00  0.413307E-01  0.456893E+00  0.150143E+01  0.201656E+01  0.175898E+01  0.249109E+00  0.201656E+01  0.249109E+00  0.275379E+01  0.270842E+01
  0.236247E+01  0.334575E+00  0.270842E+01  0.334575E+00  0.369859E+01  0.206070E+01  0.291839E+00  0.236247E+01  0.291839E+00  0.322616E+01  0.413307E-01  0.334575E+00  0.413307E-01
  0.456893E+00  0.270842E+01  0.334575E+00  0.369859E+01  0.413307E-01  0.456893E+00  0.505075E+01
  0.450000E+00  0.270969E+01  0.333691E+00  0.201389E+01  0.270969E+01  0.236194E+01  0.333691E+00  0.270969E+01  0.333691E+00  0.369493E+01  0.410931E-01  0.248005E+00  0.333691E+00
  0.290866E+00  0.410931E-01  0.333691E+00  0.410931E-01  0.455021E+00  0.149676E+01  0.201389E+01  0.175543E+01  0.248005E+00  0.201389E+01  0.248005E+00  0.274614E+01  0.270969E+01
  0.236194E+01  0.333691E+00  0.270969E+01  0.333691E+00  0.369493E+01  0.205881E+01  0.290866E+00  0.236194E+01  0.290866E+00  0.322073E+01  0.410931E-01  0.333691E+00  0.410931E-01
  0.455021E+00  0.270969E+01  0.333691E+00  0.369493E+01  0.410931E-01  0.455021E+00  0.503841E+01
  0.500000E+00  0.271108E+01  0.332705E+00  0.201091E+01  0.271108E+01  0.236131E+01  0.332705E+00  0.271108E+01  0.332705E+00  0.369118E+01  0.408297E-01  0.246779E+00  0.332705E+00
  0.289781E+00  0.408297E-01  0.332705E+00  0.408297E-01  0.452983E+00  0.149156E+01  0.201091E+01  0.175147E+01  0.246779E+00  0.201091E+01  0.246779E+00  0.273788E+01  0.271108E+01
  0.236131E+01  0.332705E+00  0.271108E+01  0.332705E+00  0.369118E+01  0.205667E+01  0.289781E+00  0.236131E+01  0.289781E+00  0.321497E+01  0.408297E-01  0.332705E+00  0.408297E-01
  0.452983E+00  0.271108E+01  0.332705E+00  0.369118E+01  0.408297E-01  0.452983E+00  0.502560E+01
  0.550000E+00  0.271257E+01  0.331617E+00  0.200761E+01  0.271257E+01  0.236060E+01  0.331617E+00  0.271257E+01  0.331617E+00  0.368742E+01  0.405410E-01  0.245435E+00  0.331617E+00
  0.288588E+00  0.405410E-01  0.331617E+00  0.405410E-01  0.450795E+00  0.148586E+01  0.200761E+01  0.174711E+01  0.245435E+00  0.200761E+01  0.245435E+00  0.272911E+01  0.271257E+01
  0.236060E+01  0.331617E+00  0.271257E+01  0.331617E+00  0.368742E+01  0.205430E+01  0.288588E+00  0.236060E+01  0.288588E+00  0.320896E+01  0.405410E-01  0.331617E+00  0.405410E-01
  0.450795E+00  0.271257E+01  0.331617E+00  0.368742E+01  0.405410E-01  0.450795E+00  0.501262E+01
  0.600000E+00  0.271414E+01  0.330430E+00  0.200401E+01  0.271414E+01  0.235977E+01  0.330430E+00  0.271414E+01  0.330430E+00  0.368375E+01  0.402277E-01  0.243975E+00  0.330430E+00
  0.287287E+00  0.402277E-01  0.330430E+00  0.402277E-01  0.448474E+00  0.147967E+01  0.200401E+01  0.174236E+01  0.243975E+00  0.200401E+01  0.243975E+00  0.271993E+01  0.271414E+01
  0.235977E+01  0.330430E+00  0.271414E+01  0.330430E+00  0.368375E+01  0.205167E+01  0.287287E+00  0.235977E+01  0.287287E+00  0.320279E+01  0.402277E-01  0.330430E+00  0.402277E-01
  0.448474E+00  0.271414E+01  0.330430E+00  0.368375E+01  0.402277E-01  0.448474E+00  0.499976E+01
  0.650000E+00  0.271579E+01  0.329142E+00  0.200009E+01  0.271579E+01  0.235883E+01  0.329142E+00  0.271579E+01  0.329142E+00  0.368028E+01  0.398907E-01  0.242403E+00  0.329142E+00
  0.285881E+00  0.398907E-01  0.329142E+00  0.398907E-01  0.446035E+00  0.147300E+01  0.200009E+01  0.173721E+01  0.242403E+00  0.200009E+01  0.242403E+00  0.271041E+01  0.271579E+01
  0.235883E+01  0.329142E+00  0.271579E+01  0.329142E+00  0.368028E+01  0.204880E+01  0.285881E+00  0.235883E+01  0.285881E+00  0.319656E+01  0.398907E-01  0.329142E+00  0.398907E-01
  0.446035E+00  0.271579E+01  0.329142E+00  0.368028E+01  0.398907E-01  0.446035E+00  0.498731E+01
  0.700000E+00  0.271749E+01  0.327757E+00  0.199587E+01  0.271749E+01  0.235777E+01  0.327757E+00  0.271749E+01  0.327757E+00  0.367710E+01  0.395309E-01  0.240722E+00  0.327757E+00
  0.284372E+00  0.395309E-01  0.327757E+00  0.395309E-01  0.443495E+00  0.146587E+01  0.199587E+01  0.173167E+01  0.240722E+00  0.199587E+01  0.240722E+00  0.270066E+01  0.271749E+01
  0.235777E+01  0.327757E+00  0.271749E+01  0.327757E+00  0.367710E+01  0.204567E+01  0.284372E+00  0.235777E+01  0.284372E+00  0.319035E+01  0.395309E-01  0.327757E+00  0.395309E-01
